ticker,quarter,date_parsed,excess_return_1d,excess_return_3d,excess_return_5d,y_1d,y_3d,y_5d
CVX,2022-Q3,2022-10-28,0.012335331371594201,0.028150313654419508,0.05168244177711429,0,0,0
ETSY,2020-Q2,2020-08-05,-0.042546457223729156,-0.016321772877076066,-0.11544411193874418,1,1,1
ETSY,2020-Q4,2021-02-25,0.11999222601572228,0.195740079573359,0.017357256811203942,0,0,0
ETSY,2021-Q1,2021-05-05,-0.15367564065790748,-0.09975746106676575,-0.11182545629806845,1,1,1
ETSY,2021-Q2,2021-08-04,-0.10375999494512116,-0.10118870905750013,-0.051211865726467104,1,1,1
ETSY,2021-Q3,2021-11-03,0.12737139356299995,0.07958106678618913,0.039759473860697045,0,0,0
FDX,2019-Q4,2019-06-25,0.026257309834338195,0.044930875842526447,0.0049255243205168844,0,0,0
FDX,2020-Q1,2019-09-17,-0.12979593455327101,-0.13729280039007694,-0.1611568489894097,1,1,1
FDX,2020-Q2,2019-12-17,-0.10035086545515463,-0.10113321744891958,-0.08640942383708018,1,1,1
FDX,2020-Q3,2020-03-17,0.10033798383363751,0.259159653825685,0.29662779486123236,0,0,0
FDX,2020-Q4,2020-06-30,0.11023839596695023,0.08628118378941757,0.1054338357242548,0,0,0
FDX,2021-Q3,2021-03-18,0.06283444954380926,0.014322218665112057,0.041778064511050414,0,0,0
FDX,2021-Q4,2021-06-24,-0.03982985795008684,-0.02278615124581308,-0.02514780690243168,1,1,1
FDX,2022-Q1,2021-09-21,-0.10095977674241723,-0.12459164333154836,-0.11791296639514749,1,1,1
FDX,2022-Q2,2021-12-16,0.06011454053244148,0.06008546920030834,0.05170390137189827,0,0,0
FDX,2022-Q3,2022-03-17,-0.0507370025568786,-0.028667917700230718,-0.03707484568655467,1,1,1
FDX,2022-Q4,2022-06-23,0.03984277636428561,0.05090797146278972,0.0009531611197366378,0,0,0
FDX,2023-Q1,2022-09-22,-0.016958045686958936,-0.0330880066495545,0.016113532611428824,1,1,0
FDX,2023-Q2,2022-12-20,0.01936443874194369,0.06423152635502938,0.06313190920556674,0,0,0
GOOGL,2020-Q3,2020-10-29,0.048468610809358124,0.03868993431647983,0.07067386213109574,0,0,0
GOOGL,2020-Q4,2021-02-02,0.07203881455618491,0.07228626962538193,0.058625801377822584,0,0,0
GOOGL,2021-Q1,2021-04-27,0.02999504735704947,0.027816519223943705,0.011468952492776165,0,0,0
GOOGL,2021-Q2,2021-07-27,0.03220697250425104,0.022568236533337387,0.023404845477661314,0,0,0
GOOGL,2021-Q3,2021-10-26,0.05402507198813896,0.05550503316489029,0.030932274384154655,0,0,0
GOOGL,2021-Q4,2022-02-01,0.06552373676667662,0.050423794610962754,0.017188025491662554,0,0,0
GOOGL,2022-Q1,2022-04-26,-0.03952077680807847,-0.028414956627273554,-0.011764520596710975,1,1,1
GOOGL,2022-Q2,2022-07-26,0.05059039450439956,0.05361914510728941,0.05234181330401863,0,0,0
GOOGL,2022-Q3,2022-10-25,-0.08387095716570822,-0.08903981576803544,-0.13305328945595438,1,1,1
GOOGL,2022-Q4,2023-02-02,-0.016844774998921324,0.002886815722176277,-0.09490509147022397,1,0,1
JNJ,2019-Q2,2019-07-16,0.00197475391189267,-0.00782229347367024,-0.028456944779323836,0,1,1
JNJ,2020-Q4,2021-01-26,0.009189527345035293,-0.007364705177318721,-0.04830472232333721,0,1,1
JNJ,2021-Q1,2021-04-20,-0.008801186679845937,-0.016853830778376246,-0.03280208579188757,1,1,1
JNJ,2021-Q2,2021-07-21,0.0007968883875790855,-0.0008466232125840471,0.00602187974275298,0,0,0
JNJ,2021-Q3,2021-10-19,-0.004477139140949384,-0.0064187281493771784,-0.00033300762467509265,1,0,0
JNJ,2021-Q4,2022-01-25,0.006982853067594257,0.007600038883865293,-0.023146546799485784,0,0,1
JNJ,2022-Q1,2022-04-19,0.005166055627132014,0.03428134645819004,0.07376758494925027,0,0,0
JNJ,2022-Q2,2022-07-19,-0.012081182022035763,-0.0046846030649233435,0.01510852354765987,1,0,0
JNJ,2022-Q3,2022-10-18,-0.0008650297964587095,0.007749669490288656,-0.00884523392243922,0,0,1
JNJ,2022-Q4,2023-01-24,0.006754635443599944,-0.014168516639975629,-0.044745723426994,0,1,1
LULU,2020-Q4,2021-03-30,-0.036788222834932854,-0.08730135681424915,-0.06489351475515334,1,1,1
LULU,2021-Q2,2021-09-08,0.10894064648021547,0.12584268136092047,0.10675894396881937,0,0,0
LULU,2021-Q3,2021-12-09,-0.027018593125256812,-0.04594862169344152,-0.06329602722426542,1,1,1
LULU,2021-Q4,2022-03-29,0.10196802318452569,0.08693044549584496,0.12460380550638031,0,0,0
LULU,2022-Q1,2022-06-02,0.010528667203852518,0.015883890852820028,0.03728832315264238,0,0,0
LULU,2022-Q2,2022-09-01,0.07751675857532493,0.14063446634902646,0.15839208155928378,0,0,0
LULU,2022-Q3,2022-12-08,-0.12101776023941833,-0.14326941990575115,-0.11495703066813516,1,1,1
MA,2020-Q4,2021-01-28,-0.0046194860944596405,0.020734730507178712,0.028368724611843626,1,0,0
MA,2021-Q1,2021-04-29,-0.011143909242007463,-0.022956568847045583,-0.03227507678526458,1,1,1
MA,2021-Q2,2021-07-29,-0.00252503104006758,-0.0556857245921225,-0.04590792523703942,1,1,1
MA,2021-Q3,2021-10-28,0.005447828088220166,-0.021473667708165636,-0.011536008742284564,0,1,1
MA,2021-Q4,2022-01-27,0.06639768352362516,0.06813439883267708,0.07718215287954187,0,0,0
MA,2022-Q1,2022-04-28,-0.0038280183444608998,-0.028822040505313673,-0.03448213196625907,1,1,1
MA,2022-Q2,2022-07-28,-0.010776868322239818,-0.014661098095183296,-0.009676317854577204,1,1,1
MA,2022-Q3,2022-10-27,0.007834071583122992,0.031324879428942735,-0.008331009065520666,0,0,1
MA,2022-Q4,2023-01-26,-0.010807168198107583,-0.021875736009480236,-0.03581890208002352,1,1,1
META,2019-Q2,2019-07-24,-0.014523167794169673,-0.04267355713704945,-0.03765991189638666,1,1,1
META,2020-Q1,2020-04-29,0.06348449200615718,0.08988321618691122,0.1040944635926765,0,0,0
META,2020-Q4,2021-01-27,-0.03483694931832229,-0.042084767263493125,-0.04004477180985564,1,1,1
META,2021-Q1,2021-04-28,0.06660034492563745,0.048490285599342146,0.029742615245151382,0,0,0
META,2021-Q3,2021-10-25,-0.04008571903934106,-0.041889348566326305,-0.005931538444345509,1,1,1
META,2021-Q4,2022-02-02,-0.24039602234402188,-0.2816224574261817,-0.2821492140346129,1,1,1
META,2022-Q1,2022-04-27,0.150676693737281,0.21348833844062734,0.2487384563944359,0,0,0
META,2022-Q2,2022-07-27,-0.06478926141059942,-0.08116760989197118,-0.03803784850297995,1,1,1
MSFT,2021-Q2,2021-01-26,0.02689387123728764,0.0341559780309263,0.0367408012536821,0,0,0
MSFT,2021-Q3,2021-04-27,-0.02799809389194024,-0.036843721790931656,-0.049577691310810475,1,1,1
MSFT,2021-Q4,2021-07-27,-0.0007066454022089336,-0.004549645528449051,-0.002850527904031727,0,0,0
MSFT,2022-Q1,2021-10-26,0.04654439279651618,0.06214696857762701,0.06120432442751467,0,0,0
MSFT,2022-Q2,2022-01-25,0.03100205019076733,0.05131302227057026,0.02772798020041102,0,0,0
MSFT,2022-Q3,2022-04-26,0.04529700606240097,0.03686816350142294,0.04210700872414609,0,0,0
MSFT,2022-Q4,2022-07-26,0.04088551613082715,0.06051043385983399,0.04706319304992981,0,0,0
MSFT,2023-Q1,2022-10-25,-0.06962216392976102,-0.06965595729304663,-0.08868377889547101,1,1,1
MSFT,2023-Q2,2023-01-24,-0.00628296554307248,0.011591936143636915,0.008146920993546497,1,0,0
NFLX,2020-Q4,2021-01-19,0.15470477540367814,0.11518149698122623,0.10632125238340648,0,0,0
NFLX,2021-Q1,2021-04-20,-0.08346524771024874,-0.09118635447511522,-0.09307887968625747,1,1,1
NFLX,2021-Q2,2021-07-20,-0.04089919130356916,-0.050051351180055534,-0.04130323182147454,1,1,1
NFLX,2021-Q3,2021-10-19,-0.025617930642411184,0.03484086087668165,0.034391776357885664,1,0,0
NFLX,2021-Q4,2022-01-20,-0.19827381663761737,-0.2515682050846289,-0.20443637606881054,1,1,1
NFLX,2022-Q1,2022-04-19,-0.3504245310959873,-0.3390803559251133,-0.36585456935470856,1,1,1
NFLX,2022-Q2,2022-07-19,0.06707804416889161,0.08610069403760605,0.06442163705105099,0,0,0
NFLX,2022-Q3,2022-10-18,0.1379508467659515,0.19371915069264628,0.17109687324161155,0,0,0
NFLX,2022-Q4,2023-01-19,0.06598682014829495,0.12241822387016194,0.11400432570241903,0,0,0
NVDA,2020-Q2,2019-08-15,0.057772446423162524,0.10927443637854486,0.125565777654707,0,0,0
NVDA,2021-Q4,2021-02-24,-0.058082252821987486,-0.03974074779384195,-0.09043409784548709,1,1,1
NVDA,2022-Q2,2021-08-18,0.03826249576839256,0.1348580656462357,0.14449378051883013,0,0,0
NVDA,2021-Q3,2021-11-17,0.07910253186022517,0.09331988310384533,0.11386330000824718,0,0,0
NVDA,2022-Q4,2022-02-16,-0.05422989470623843,-0.07959219606637835,-0.06324463260872504,1,1,1
NVDA,2023-Q1,2022-05-25,0.031623881383957664,0.06081319572609096,0.10378688972790917,0,0,0
NVDA,2023-Q2,2022-08-24,0.02600555469513934,-0.055822941943353174,-0.07886538001025148,0,1,1
NVDA,2023-Q3,2022-11-16,-0.011584610205782865,-0.03509693519346713,0.02065280383775121,1,1,0
